contrast,left,right,noise_type,severity,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,macro_f1_absolute_degradation,-0.06295005321801601,0.09511865066896968,-0.13649884750970548,0.010598741073673446
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,system_reconstruction_mse_increase,-0.00827295544614597,0.0067972524211201936,-0.014333532627942607,-0.0047326378587800606
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,standardized_reconstruction_mse_increase,-0.001739411662549388,0.004304801014539228,-0.004909622215348845,0.0018453220223407368
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,accuracy,0.0683,0.09380596995927284,-0.005880000000000008,0.14248
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,macro_f1,0.06236392456070139,0.09429973123818972,-0.012269949233809318,0.1369977983552121
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,classification_ce,-1.3668295860290527,1.637997770894347,-2.604932117462158,-0.12872705459594727
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,system_reconstruction_mse,-0.0239066010377845,0.007333497350956425,-0.030535899267391288,-0.019901062767768405
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,standardized_reconstruction_mse,-0.01552966013382892,0.006286543932348493,-0.019958155542490433,-0.010763695376649193
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,representation_cosine,-0.1209780216217041,0.008371733102004725,-0.12862422466278076,-0.11633836030960083
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,prediction_js_divergence,-0.044319772720336915,0.07716790171694912,-0.10495315790176392,0.016313612461090088
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,accuracy_absolute_degradation,-0.04254000000000002,0.10297430747521442,-0.12424000000000004,0.03915999999999999
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,accuracy_relative_degradation,-0.06497453897461161,0.10701381984118497,-0.14966766309492982,0.019718585145706614
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,macro_f1_absolute_degradation,-0.03647557279931193,0.10345357530016874,-0.11873721281050398,0.045786067211880124
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,system_reconstruction_mse_increase,-0.010053626115078826,0.008515311624074514,-0.01770671420214127,-0.005595368387066585
HHB_minus_HHH,HHB,HHH,salt_pepper,0.4,standardized_reconstruction_mse_increase,-0.0014093721640839828,0.006476628146759884,-0.0057940138993944346,0.004270809810015619
HBB_minus_HHB,HBB,HHB,clean,0.0,accuracy,-0.0034799999999999944,0.0028682747427678373,-0.005399999999999983,-0.0010399999999999964
HBB_minus_HHB,HBB,HHB,clean,0.0,macro_f1,-0.003467427997961314,0.003012848217314636,-0.005469984656953275,-0.0008912331091363468
