sweep,case,seed,method_id,method,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,system_training_samples_seen,system_training_wall_time_sec,standardized_decoder_samples_seen,standardized_decoder_wall_time_sec,total_training_samples_seen,total_training_wall_time_sec
dimension,L16,2,hybrid_hbb,HBB,0.9297,0.9288119424769645,0.2447434514760971,0.01036708163825833,0.010164585355836519,1000000,595.7956993999978,500000,390.61558890000015,1500000,986.411288299998
dimension,L16,3,full_bp,BBB,0.9308,0.9301621489622474,0.24568164348602295,0.009917330689332923,0.010061503510572473,500000,273.83851599999616,500000,166.23949500000163,1000000,440.0780109999978
dimension,L16,3,full_hebbian,HHH,0.623,0.6185200344235338,1.121173620223999,0.040716899910751655,0.03997055397812201,2000000,295.73678080000536,500000,210.29289370000333,2500000,506.0296745000087
dimension,L16,3,hybrid_hhb,HHB,0.9024,0.9011405286608746,0.3237544298171997,0.013172437821602335,0.012859186191948093,1500000,315.98493040000176,500000,132.92381529999693,2000000,448.9087456999987
dimension,L16,3,hybrid_hbb,HBB,0.9215,0.9206305992857299,0.2587580680847168,0.011009411625959436,0.010945993150983538,1000000,246.66612689999602,500000,150.24922800000058,1500000,396.9153548999966
dimension,L16,4,full_bp,BBB,0.8872,0.8847980104288261,0.38806360960006714,0.021335991886683874,0.02142228713522152,500000,159.69776640000055,500000,151.02086260000215,1000000,310.7186290000027
dimension,L16,4,full_hebbian,HHH,0.6847,0.679954316481643,0.9869654178619385,0.03900905711115623,0.03892657459414735,2000000,460.12046700000064,500000,161.21452539999882,2500000,621.3349923999995
dimension,L16,4,hybrid_hhb,HHB,0.8485,0.8454095673935488,0.486772745847702,0.022946478773623095,0.022938270880251514,1500000,371.7138353000046,500000,149.50562340000033,2000000,521.2194587000049
dimension,L16,4,hybrid_hbb,HBB,0.9188,0.9176760049564926,0.27820903062820435,0.017066921668149986,0.017150887043622075,1000000,289.71152119999897,500000,155.26423040000373,1500000,444.9757516000027
dimension,L32,0,full_bp,BBB,0.9212,0.9198471899963717,0.2666078507900238,0.005750918217094577,0.005544308478978215,500000,206.72410240000318,500000,169.8778123000011,1000000,376.6019147000043
dimension,L32,0,full_hebbian,HHH,0.7978,0.7938596875577731,0.6632143259048462,0.026351449090607312,0.026408819074046855,2000000,462.4454190000033,500000,165.48392169999715,2500000,627.9293407000005
dimension,L32,0,hybrid_hhb,HHB,0.9125,0.9111566329419931,0.2933538258075714,0.00835489954072602,0.007806105016202343,1500000,380.5663810000042,500000,163.50484709999728,2000000,544.0712281000015
dimension,L32,0,hybrid_hbb,HBB,0.9217,0.92047109418033,0.2658556401729584,0.006665851352652725,0.00641257343730148,1000000,295.3083905999956,500000,167.0830322000038,1500000,462.3914227999994
dimension,L32,1,full_bp,BBB,0.9192,0.9179003835330601,0.2766551077365875,0.005536953064373561,0.00552499160280033,500000,198.7041201999964,500000,200.49277129999973,1000000,399.1968914999961
dimension,L32,1,full_hebbian,HHH,0.8572,0.8555774755926546,0.47493183612823486,0.023208014815194265,0.023319475545688553,2000000,476.19691579999926,500000,177.56861679999565,2500000,653.7655325999949
dimension,L32,1,hybrid_hhb,HHB,0.9139,0.9125751829329914,0.2913929224014282,0.006972103384562901,0.006799976725480994,1500000,636.3186260000002,500000,158.14856590000272,2000000,794.467191900003
dimension,L32,1,hybrid_hbb,HBB,0.9168,0.9153872796670776,0.2764228284358978,0.0056154138010375354,0.005483118023191179,1000000,250.78111509999144,500000,181.58345859999827,1500000,432.3645736999897
dimension,L32,2,full_bp,BBB,0.9291,0.9283108382750218,0.24510499835014343,0.007652649671204236,0.007513101716917389,500000,169.40082809999876,500000,155.27042079999228,1000000,324.67124889999104
dimension,L32,2,full_hebbian,HHH,0.7991,0.7956694378192245,0.6237534880638123,0.02898464546203613,0.028867269905246035,2000000,350.66974119999213,500000,127.24231770000188,2500000,477.912058899994
dimension,L32,2,hybrid_hhb,HHB,0.9148,0.91378804862292,0.28367945551872253,0.011034462666998104,0.01056626245148328,1500000,322.01770310000575,500000,150.18784519999463,2000000,472.2055483000004
dimension,L32,2,hybrid_hbb,HBB,0.9216,0.9207148004360594,0.27604585886001587,0.00884638585557743,0.00871195015420719,1000000,273.7112488999992,500000,167.61949709999317,1500000,441.33074599999236
dimension,L32,3,full_bp,BBB,0.929,0.9281840943992709,0.24603982269763947,0.008473391962051392,0.00840247716027863,500000,215.65243229999032,500000,167.6617702999938,1000000,383.3142025999841
dimension,L32,3,full_hebbian,HHH,0.7828,0.7779956252973597,0.68902587890625,0.030555813065353706,0.030102429716927663,2000000,413.0728933999926,500000,152.14240419999987,2500000,565.2152975999925
dimension,L32,3,hybrid_hhb,HHB,0.9024,0.9012336264304487,0.3256341218948364,0.010487655381767116,0.009920958555961142,1500000,343.59804180001083,500000,153.52633169999172,2000000,497.12437350000255
dimension,L32,3,hybrid_hbb,HBB,0.9244,0.9234776361664206,0.259815514087677,0.007959570620984447,0.007715632150611099,1000000,297.30356679999386,500000,176.920564,1500000,474.2241307999939
dimension,L32,4,full_bp,BBB,0.9227,0.9218091526509129,0.2608058750629425,0.015420368930271693,0.015603264275375677,500000,181.46729040000355,500000,145.30516669999633,1000000,326.7724570999999
dimension,L32,4,full_hebbian,HHH,0.8139,0.8115042551132786,0.6111534237861633,0.029836205451342523,0.02904057597335504,2000000,405.0350935000024,500000,168.64461270000902,2500000,573.6797062000114
dimension,L32,4,hybrid_hhb,HHB,0.8984,0.8970849471932407,0.34341537952423096,0.013905520538407929,0.01378503932563626,1500000,418.4452794999961,500000,179.09003979999397,2000000,597.5353192999901
dimension,L32,4,hybrid_hbb,HBB,0.9063,0.9046080439436578,0.31804710626602173,0.019180939481696305,0.019349595042637415,1000000,319.9128944000113,500000,166.30445510000573,1500000,486.217349500017
dimension,L128,0,full_bp,BBB,0.9265,0.9254698126693224,0.24701225757598877,0.0021133048476005088,0.0020156350782939364,500000,226.91400400000566,500000,184.09983350000402,1000000,411.0138375000097
dimension,L128,0,full_hebbian,HHH,0.9298,0.9289394393827692,0.23813562095165253,0.013867972630870586,0.013167811568902463,2000000,505.4898353000026,500000,189.09328109999478,2500000,694.5831163999974
dimension,L128,0,hybrid_hhb,HHB,0.933,0.9320043172972543,0.22815971076488495,0.003542554708402984,0.003326603735709677,1500000,433.6164940000017,500000,184.39054269999906,2000000,618.0070367000008
dimension,L128,0,hybrid_hbb,HBB,0.9297,0.9287376432550923,0.24553461372852325,0.0022792841446642974,0.0021906707707716492,1000000,332.5782564999972,500000,187.27786170000036,1500000,519.8561181999976
dimension,L128,1,full_bp,BBB,0.9305,0.9296689939798091,0.2379363775253296,0.0020808846600201664,0.0019377368292030023,500000,238.54491599999892,500000,194.7666414999985,1000000,433.31155749999743
dimension,L128,1,full_hebbian,HHH,0.934,0.9331814540911605,0.24277788400650024,0.01442539294301247,0.014314875836275063,2000000,538.5908576000074,500000,174.51723719999427,2500000,713.1080948000017
dimension,L128,1,hybrid_hhb,HHB,0.9363,0.9356200407152784,0.20590542256832123,0.0037779379723023396,0.0034228835538941986,1500000,392.2691602999985,500000,256.00763940000616,2000000,648.2767997000046
dimension,L128,1,hybrid_hbb,HBB,0.9276,0.9267115300162085,0.24124670028686523,0.00219740352387331,0.002043747336037305,1000000,414.124567699997,500000,228.18303339999693,1500000,642.3076010999939
dimension,L128,2,full_bp,BBB,0.9245,0.9234244757419295,0.25660982728004456,0.0022358630839659243,0.002162531841044523,500000,288.8989708000008,500000,241.05106810000143,1000000,529.9500389000023
dimension,L128,2,full_hebbian,HHH,0.9311,0.9301495539529171,0.21637499332427979,0.016133648697210817,0.015592597509890187,2000000,719.3939854999917,500000,303.563015000007,2500000,1022.9570004999987
dimension,L128,2,hybrid_hhb,HHB,0.9359,0.9349811827911273,0.2246457040309906,0.003799193761786636,0.003620386216105247,1500000,674.9459615000087,500000,238.36681800000952,2000000,913.3127795000182
dimension,L128,2,hybrid_hbb,HBB,0.9292,0.9281753770432614,0.24459731578826904,0.00228013222168903,0.0021749597941126144,1000000,425.29534900000726,500000,239.97088140000415,1500000,665.2662304000114
dimension,L128,3,full_bp,BBB,0.9224,0.9212897384918612,0.2596467137336731,0.002259672766315694,0.002189918201310294,500000,304.2125010000018,500000,234.575190500007,1000000,538.7876915000088
dimension,L128,3,full_hebbian,HHH,0.9237,0.9226668424690745,0.2701334059238434,0.015004192079816545,0.014519471141270229,2000000,666.4464105000079,500000,235.23244750000595,2500000,901.6788580000139
dimension,L128,3,hybrid_hhb,HHB,0.9351,0.9341819419101738,0.22328105568885803,0.0037889460193867588,0.003506925751238453,1500000,629.9772165000031,500000,238.4297860999941,2000000,868.4070025999972
